#{"t_start": 1772389708.960019, "env_id": null}
r,l,t
1440.445832,501,11.744675
554.83951,234,30.741392
1413.990121,501,71.37475
814.670282,501,114.25962
1322.949247,501,155.660385
1235.503579,501,197.052153
1409.587584,501,241.579665
1287.089638,501,286.186954
1032.555402,501,329.993875
-1275.55145,382,363.146992
1355.25898,501,405.110384
1438.697612,501,447.453198
1439.340983,501,491.237024
1452.839788,501,537.340952
1468.783751,501,582.023377
1477.381965,501,627.853082
1463.880742,501,671.925717
1476.900312,501,716.938236
1484.475603,501,762.48306
1483.181866,501,807.562945
102.901202,52,818.654794
1472.928283,501,873.749601
