step,reward,speed,throttle,brake,steer,d_lat,tl_state,is_junction
103,-10.0,0.0008238786923883804,0.0,0.7234935760498047,-0.043617179873606915,0.5262638926506042,Green,False
205,-10.0,0.429018345683841,0.9558901786804199,0.0,0.10121998702152268,0.7850111126899719,Green,False
307,-10.0,0.20778584664184477,0.48244404792785645,0.0,0.03186292579050054,0.5269763469696045,Green,False
409,-10.0,0.0001056234632669661,0.0,0.9764975905418396,0.03484490189660505,0.29232075810432434,Green,False
511,-10.0,0.2331965313513486,0.5695400238037109,0.0,-0.014808274444249037,0.3901625871658325,Green,False
613,-10.0,0.043684038052006824,0.4043177366256714,0.0,-0.06656840768431493,0.4091509282588959,Green,False
715,-10.0,1.5092867307856809e-05,0.0,0.48310697078704834,0.16544885871977044,0.5296472311019897,Green,False
817,-10.0,0.30132125147978434,0.4421420097351074,0.0,0.023889953103548578,0.084304079413414,Green,False
959,-10.0,0.0004424675196452313,0.0,0.02919912338256836,0.019759492188200056,0.23432409763336182,Green,False
1151,-24.959835,32.99509095530633,0.8109471797943115,0.0,-1.0,3.116849660873413,Green,False
1243,-75.00929,36.47887213612766,0.9679958820343018,0.0,-0.4650709628149343,3.1812100410461426,Red,False
1307,-73.970695,25.624579876517377,0.3340942859649658,0.0,1.0,3.041447639465332,Red,True
1449,-95.594215,2.3361425779976774,0.9627740383148193,0.0,-0.26554124025813053,1.454893708229065,Green,False
1548,-92.97685,20.42331847587407,0.6101030111312866,0.0,-0.5387194555747783,1.0781700611114502,Green,False
1618,-24.79107,33.101631597531345,0.9279781579971313,0.0,-1.0,3.6488993167877197,Green,False
1687,-177.0138,13.871535820018696,0.8994483947753906,0.0,-0.6553762889318477,3.3579134941101074,Red,False
1747,-29.090107,49.62313866121629,0.9573450088500977,0.0,-1.0,3.128021717071533,Green,False
1797,-94.29662,9.268642732237174,0.8807632923126221,0.0,0.1337321692567457,0.7944971919059753,Green,False
1860,-126.97016,15.100519500096487,0.910485029220581,0.0,0.31496941002387757,3.195490598678589,Green,False
1922,-140.59764,19.330999974005596,0.0,0.1988964080810547,0.28566087346621316,0.5805149078369141,Red,True
1971,-95.14464,4.8810314865615725,0.9609723091125488,0.0,-0.5944462950701563,1.1966750621795654,Green,False
2014,-22.939829,39.923281227737675,0.9059569835662842,0.0,1.0,3.287489414215088,Green,True
2066,-28.864313,49.28184498071462,0.9809495210647583,0.0,1.0,3.1636152267456055,Green,False
2127,-28.647945,48.78767219995731,0.9766039848327637,0.0,1.0,3.138660192489624,Green,False
2181,-93.367134,22.23950589961145,0.9054970741271973,0.0,-0.44080849431617253,1.0538604259490967,Green,False
2234,-30.343367,47.7905487176929,0.844835638999939,0.0,-0.9210406887414138,3.622683525085449,Green,False
2292,-29.088236,52.15461192935301,0.9004817008972168,0.0,1.0,3.157820463180542,Green,False
2347,-25.605516,43.4526439280921,0.9626749753952026,0.0,0.7635232663551506,3.362645149230957,Green,False
2396,-94.1257,17.367509071498326,0.9839451313018799,0.0,-0.48399064984278084,1.5367060899734497,Green,False
2447,-79.60334,51.918891052338196,0.9891375303268433,0.0,1.0,3.8334131240844727,Red,True
