#{"t_start": 1772386280.0391364, "env_id": null}
r,l,t
6.792556,20,1.064291
1.424271,19,2.091425
12.501437,26,3.491922
14.78395,39,5.260072
10.626319,32,6.818763
5.949478,57,9.337863
4.782733,20,10.406898
-0.681928,60,13.066453
10.665135,23,14.32192
13.641715,30,15.962651
9.657074,22,17.212777
4.135473,19,18.325128
15.958365,39,20.319249
4.130844,19,21.420357
1.879524,20,22.579197
1.084767,19,23.684728
8.159946,23,24.979743
12.890752,54,27.665797
6.899738,22,28.901047
3.337894,18,29.973236
12.948418,26,31.417279
8.814573,44,33.674354
13.979233,35,35.415802
14.211708,36,37.113309
12.321175,34,38.731946
11.154363,29,40.151215
8.406631,23,41.327653
2.888866,17,42.376012
19.918662,31,44.052773
11.112545,35,45.910857
10.882666,25,47.289679
4.291786,18,48.341772
6.561231,44,50.515485
18.752506,37,52.285032
8.192443,27,53.63259
8.598397,29,55.05826
8.05306,29,56.510254
9.860708,23,57.820462
10.375809,25,59.206563
13.654294,27,60.693018
13.285836,47,63.128897
18.465976,35,64.83699
10.112017,25,66.141081
10.10543,21,67.283737
3.619473,17,68.254786
7.205007,24,69.541361
10.100607,23,70.863436
4.933869,16,71.856058
8.64789,23,73.13951
9.528303,23,74.45312
14.632743,34,76.217584
13.383708,32,77.912298
9.329129,29,79.439337
19.283786,45,81.818076
6.030469,20,82.963659
12.661246,27,84.387613
11.043772,24,85.657451
8.805112,22,86.814471
5.732963,20,87.888672
7.125686,20,88.974045
8.975466,21,90.100198
13.005293,26,91.438742
11.458884,28,92.877105
11.117158,24,94.133264
18.514691,28,95.622881
20.900622,35,97.340339
8.589899,29,98.805647
11.639963,35,100.523605
13.869008,40,102.422699
22.452898,36,104.179163
1.946995,17,105.216665
4.680584,19,106.33809
11.250134,21,107.577683
8.610865,22,108.835576
16.265172,32,110.525515
12.381782,26,111.852926
10.430923,24,113.094544
18.809918,36,114.821081
22.753187,44,116.961772
6.258073,21,118.183533
-5.551321,12,118.885853
17.020623,35,120.542812
13.024743,29,121.939938
17.655382,33,123.537594
21.571149,44,125.650311
8.659914,22,126.819044
20.599153,35,128.548174
15.228172,28,129.994448
7.211779,22,131.136385
10.824291,24,132.371585
13.247591,23,133.525264
5.344675,19,134.517207
8.665514,22,135.657567
21.655387,40,137.557926
0.192392,17,138.502863
10.55289,24,139.804213
9.299488,20,140.908561
6.438933,21,142.078989
11.11595,23,143.382832
20.698405,31,144.983969
20.35313,31,146.676227
15.857271,36,148.421822
4.565608,18,149.38589
8.327984,26,150.784281
11.268463,26,152.241796
12.017673,23,153.558823
18.113941,31,155.283517
12.784644,32,157.022107
12.313009,36,158.938222
14.862579,30,160.556311
9.60541,24,161.880954
8.154274,23,163.094641
27.693036,46,165.314378
16.228325,30,166.780712
13.464667,32,168.435135
4.348263,20,169.614115
13.338808,25,170.850054
14.008774,28,172.31388
9.067866,22,173.618019
10.947838,21,174.84568
6.432933,20,176.052551
3.087781,18,177.179292
2.946255,17,178.275703
17.951384,32,180.123305
8.618163,19,181.28797
2.65348,18,182.396534
10.166303,22,183.663376
19.975788,43,185.651534
11.282377,26,186.972778
10.787861,24,188.205717
11.759734,25,189.522528
6.647871,20,190.590022
11.274096,23,191.793621
8.657418,19,192.802461
28.211744,34,194.449675
7.979969,21,195.626999
12.502585,23,196.82489
25.767715,38,198.69405
11.475802,22,199.942228
6.807706,22,201.225768
11.458734,29,202.745615
4.337415,22,204.065962
27.853172,40,206.251795
15.7753,32,207.858912
21.524699,48,210.110421
12.999885,27,211.497434
9.257168,22,212.78006
9.595573,21,214.02723
21.187719,39,216.12351
15.177225,26,217.413089
12.316771,26,218.764009
17.121638,30,220.295823
13.202816,31,221.830108
11.882171,25,223.216597
2.9827,18,224.22252
21.646131,31,225.902599
10.453978,25,227.224632
6.69796,19,228.253761
7.376619,21,229.36357
12.292513,22,230.513292
5.936379,19,231.534003
10.21994,22,232.674458
23.546656,38,234.568378
13.275903,46,236.672867
13.869381,25,237.970112
10.273314,23,239.19379
10.107264,22,240.362997
12.264397,25,241.769814
15.866771,31,243.562182
13.892605,25,244.99027
15.150577,26,246.303173
10.405337,25,247.589208
13.648822,34,249.243809
10.370099,25,250.515476
28.571106,48,252.712803
15.345197,29,254.148931
13.376369,31,255.759015
18.929112,37,257.723358
11.321574,62,260.569986
3.838575,17,261.493614
19.959208,44,263.591843
14.62457,28,265.004087
29.633644,47,267.225326
31.797712,40,269.101742
11.068287,26,270.439523
22.300426,34,272.128697
15.515396,26,273.570179
11.198355,24,274.92399
15.748604,26,276.317261
8.443839,21,277.506429
17.621273,29,279.119272
13.771049,25,280.525207
12.665725,24,281.928702
11.963746,24,283.329319
9.586944,21,284.455281
12.076794,22,285.613955
20.416807,44,287.848163
22.873003,36,289.779655
16.936916,27,291.286794
12.067727,23,292.489072
17.997209,28,293.91855
21.626565,32,295.514764
11.392008,25,296.77771
16.935295,28,298.199226
23.155367,34,299.876558
9.628934,21,300.997332
17.745407,31,302.543286
6.77485,19,303.615747
15.788061,27,304.962759
10.269119,23,306.137031
8.976902,23,307.328223
21.645298,36,309.060319
20.778067,37,310.828491
17.395287,50,313.257454
10.933551,24,314.635368
12.557601,22,315.918529
11.788777,22,317.122862
12.594016,26,318.457898
10.342299,21,319.604859
16.967959,26,320.96129
1.151297,18,321.962829
14.292612,22,323.135768
10.63487,22,324.29158
16.779838,28,325.719664
14.689872,24,326.962076
14.416362,29,328.463608
8.346784,20,329.567678
4.809212,19,330.645592
13.84474,23,331.911871
9.149583,20,333.054674
11.773316,24,334.401596
15.273523,27,335.917699
26.836444,46,338.229315
15.815545,29,339.780294
25.080736,34,341.61679
22.386673,33,343.310468
19.078053,28,344.85091
12.79608,24,346.205551
17.662222,27,347.688565
9.84469,23,348.999808
25.814184,38,351.046081
26.128618,37,353.021436
19.883089,33,354.790435
15.980059,30,356.3996
